10,KEY,LEVEL 1,LEVEL 2,LEVEL 3,LEVEL 4,PUBLISH,IN_MENU,TYPOLOGIE,LEVEL,DESCRIPTION,EDITO,ID,URL
1050,VO1050,Démarches et services,Déplacements,Tram - Bus - Transport à la demande,,1,0,INFO,,,,,page_OM260
1060,VO1060,Démarches et services,Déplacements,Travaux - voirie,,1,0,INFO,,,,,page_OM290
1070,VO1070,Démarches et services,Culture-loisirs-tourisme,,,1,0,HUB,,,,,
1080,VO1080,Démarches et services,Culture-loisirs-tourisme,Billeterie (musées d'Orléans / parc floral / théâtre Gérard Philipe),,1,0,SER,,,,1984,
1090,VO1090,Démarches et services,Culture-loisirs-tourisme,"Billeterie de l'office de tourisme (visites, spectacles...)",,1,0,SER,,,,1963,
1100,VO1100,Démarches et services,Culture-loisirs-tourisme,Catalogue des médiathèques,,1,0,SER,,,,1986,
1110,VO1110,Démarches et services,Culture-loisirs-tourisme,Archives numérisées d'Orléans,,1,0,SER,,,,88,
1120,VO1120,Démarches et services,Culture-loisirs-tourisme,Aurelia - Collections patrimoniales numérisées,,1,0,SER,,,https://mediatheques.orleans-metropole.fr/patrimoine/collections-patrimoniales-numerisees,1392,
1130,VO1130,Démarches et services,Culture-loisirs-tourisme,Demande de renseignement touristique,,1,0,SER,,,,1964,
1140,VO1140,Démarches et services,Culture-loisirs-tourisme,Déclaration d'un meublé de tourisme,,1,0,SER,,,,1962,
1150,VO1150,Démarches et services,Culture-loisirs-tourisme,Déclarer la taxe de séjour,,1,0,SER,,,https://taxesejour.orleans-metropole.fr,1523,
1160,VO1160,Démarches et services,Sport,,,1,0,HUB,,,,,
1170,VO1170,Démarches et services,Sport,Inscription à l'école municipale de sport (EMIS),,1,0,SER,,,,93,
1180,VO1180,Démarches et services,Sport,Inscription à Orléans Vous Coach,,1,0,SER,,,,474,
1190,VO1190,Démarches et services,Sport,Activités sportives - établissements,,1,0,INFO,,,,,
1200,VO1200,Démarches et services,Sport,Activités sportives - annuaire de clubs,,1,0,INFO,,,,897,
1210,VO1210,Démarches et services,Urbanisme - habitat,,,1,0,HUB,,,,,
